First Name,Last Name,Title,Company,Industry,Keywords,Person Linkedin Url,Website,Twitter Url,City,State
Pedram,Amini,CTO,InQuest,information technology & services,"deep file inspection,threat intelligence,threat detection,malware analysis,ip reputation,dns reputation,yara compatible,multiav integrations,sandbox integrations,threat hunting,breach detection,data leakage detection,email security,phishing,ransomware,vip impersonation,file analysis",http://www.linkedin.com/in/pedramamini,http://www.inquest.net,https://twitter.com/inquest,Austin,Texas
Joe,Pezzillo,Volunteer,KGNU Radio,,,http://www.linkedin.com/in/ejoep,,,Boulder,Colorado
Scott,Petersen,Chief Academic Officer,,,,http://www.linkedin.com/in/scottpetersen59,,,Provo,Utah
Sean,Hampsey,Managing Partner,,,,http://www.linkedin.com/in/sean-hampsey-93466062,,,Saint Petersburg,Florida
Rada,Sumareva,Chief Executive Officer,Ziphycare,,,http://www.linkedin.com/in/rada-sumareva-dds-2860aa9,http://www.zipnostic.com,,New York,New York
Dave,Girgenti,Chief Executive Officer (CEO) & Founder,Lifeblink,information technology & services,"mobile,social media,photo sharing,information technology,consumer internet,internet,photo storage,social networking,entertainment,content management,history preservation",http://www.linkedin.com/in/girgenti,http://www.lifeblink.com,http://twitter.com/lifeblinkinc,Philadelphia,Pennsylvania
Michael,Pytel,CTO,Fulfilld.io,information technology & services,"warehouse management software,software as a service,simpleeasy implementation,systemdriven proactive recommendations",http://www.linkedin.com/in/michaelpytel,http://www.fulfilld.io,,Denver,Colorado
Roslyn,Brandon,Chair and Founding CEO,MicrobiomX,biotechnology,"medical devices,molecular diagnostics,sepsis",http://www.linkedin.com/in/roz-brandon,http://www.immunexpress.com,https://twitter.com/Immunexpress,Seattle,Washington
Jim,O'Neill,Co-Founder & CTO,Convene,management consulting,"christian ceos,leadership development,business development,peertopeer advisory boards,onetoone coaching,onetoone counseling,business consultation",http://www.linkedin.com/in/jajoneill,http://www.convenenow.com,https://twitter.com/ConveneNOW,Boston,Massachusetts
Jackson,Jhin,,,,,http://www.linkedin.com/in/jackson-jhin-b05b4999,,,Chicago,Illinois
Kwabena,Okrah,Founder / CEO / CTO,Alirtify,,,http://www.linkedin.com/in/kwabenaokrah,,,Frederick,Maryland
Vinay,Dasa,Founder,,,,http://www.linkedin.com/in/vinay-dasa-50b5a42,,,Holland,Missouri
David,Stern,Advisor / Investor,SportsCastr,,,http://www.linkedin.com/in/david-stern-5799bb17,,,New York,New York
Joe,Caruso,Owner,Bantam Group,higher education,,http://www.linkedin.com/in/joecaruso2020,http://www.hbs.edu,https://twitter.com/HarvardHBS,Boston,Massachusetts
Scott,Kurnit,Founder & CEO,Keep Holdings,,,http://www.linkedin.com/in/kurnit,,,New York,New York
David,Chang,"Director, Summer Catalyst",davidchang.me,,,http://www.linkedin.com/in/davidschang,http://www.davidchang.me,,Boston,Massachusetts
Patrick,Nagle,Founder and CEO,Rehab.com,internet,"mental health,physical therapy,addiction treatment",http://www.linkedin.com/in/patricknagle,http://www.rehab.com,https://twitter.com/rehabguide,Baltimore,Maryland
Giuseppe,Stuto,CEO & Co-founder,Fam,computer software,"ambassadors,twitter,social media,sports,content,news,high school,opinions",http://www.linkedin.com/in/giuseppestuto,http://www.smackhigh.com,https://twitter.com/smackhigh,Boston,Massachusetts
Veresh,Sita,"EVP, Chief Digital and Innovation Officer",Avis Budget Group,"leisure, travel & tourism","corporate car rental,leisure car rental,commercial truck rental,consumer truck rental,car sales,car rental,hotels & travel",http://www.linkedin.com/in/vereshsita,http://www.avisbudgetgroup.com,https://twitter.com/avisinnovation,New York,New York
Patrick,Cadariu,"Director, Head of Fleet Operations",University of Chicago Booth School of Business,higher education,"clean technology,healthcare,mobile,higher education,information technology",http://www.linkedin.com/in/patrickcadariu,http://www.chicagobooth.edu,http://www.twitter.com/polskycenter,Detroit,Michigan
Jock,Percy,General Partner,Lightning Capital,financial services,"cryptoassets,bitcoin,blockchain,cryptocurrency,altcoins,decentralized finance,defi,ethereum,mining,distributed ledger,smart contracts,decentralized autonomous organization",http://www.linkedin.com/in/jockpercy,http://www.lightning.capital,,New York,New York
Robbie,Allen,"Co-Founder, CEO & CTO",robbieallen.com,,,http://www.linkedin.com/in/robbieallen,http://www.robbieallen.com,,Durham,North Carolina
Lorien,Gabel,Co-Owner,Headwall Sports,,,http://www.linkedin.com/in/loriengabel,http://www.figment.network,,Wilson,Wyoming
Rebeca,Minguela,Founder & CEO,Clarity AI,information technology & services,"tech,social impact,product,financial performance,environmental impact,saas tool,sustainable investments,data science,business analytics,ratings",http://www.linkedin.com/in/rebecaminguela,http://www.clarity.ai,https://twitter.com/ClarityAIEng,New York,New York
Mark,Rosenberg,Founder & CEO,,,,http://www.linkedin.com/in/markcrosenberg,,,Raleigh,North Carolina
Lisa,Favaro,Managing Director,Golden Seeds,,,http://www.linkedin.com/in/lisairbyfavaro,,,New York,New York
Ricky,Patel,Senior partner,Farrell Patel Jomarron & Lopez Attorneys at Law,legal services,,http://www.linkedin.com/in/ricky-patel-11450835,http://www.justice360.com,https://twitter.com/Farrell_Patel,Miami,Florida
Ian,Borthwick,"Senior Director, Influencer Channels (Social Media/Audio)",SeatGeek,internet,"events,search,ticketing,maps,e-commerce,information technology,consumer internet,internet,tickets,internet & technology,data analysis,sports,entertainment,media",http://www.linkedin.com/in/ian-borthwick,http://www.seatgeek.com,http://twitter.com/seatgeek,New York,New York
Slava,Agafonov,Founder & CEO,Energsoft,computer software,"machine learning,battery management system,internet of things,deep learning,battery,energy storage,intelligence,visualization",http://www.linkedin.com/in/agafonovslava,http://www.energsoft.com,https://www.twitter.com/energsoft,Seattle,Washington
Alexis,Le-Quoc,Co-Founder & CTO,Datadog,computer software,"enterprise software,cloud infrastructure,application performance monitoring,infrastructure monitoring,software,information technology,saas,apm,log management,cloud,devops,monitoring,infrastructure,distributed systems,cloud computing,opensource,golang",http://www.linkedin.com/in/alexislequoc,http://www.datadoghq.com,http://twitter.com/datadoghq,New York,New York
Spencer,Slaine,Director,Clarivate Analytics,information technology & services,"scientific & academic research,patent analytics & regulatory standards,pharmaceutical & biotech intelligence,trademark protection,domain brand protection,intellectual property management,life science research,patent analytics,regulatory standards,technology,trademark research,ip & standards,antifraud,brand protection,antipiracy,proprietary software,data analytics,predictive data,clinical trial research,competitive intelligence",http://www.linkedin.com/in/spencer-slaine-34013214,http://www.clarivate.com,https://twitter.com/clarivate?_ga=1.200028910.1115848109.1486741410,Miami,Florida
Nathan,Bashaw,Co-Founder & President,Every,online media,"publishing,journalism,writing,newsletters,media",http://www.linkedin.com/in/nbashaw,http://www.substack.com,,New York,New York
Chris,Becker,Founder / CEO,NetEffect,computer networking,"enterprise social media,technology consulting,large scale change management,strategy articulation,digital transformation,social business,business analysis,technology services",http://www.linkedin.com/in/becker,http://www.net-effect.com,,New York,New York
Sergei,Kovalenko,Co-founder,Braavo Capital,information technology & services,"mobile,enterprise software,ecommerce,fin tech,information technology,software,custom software development,dedicated teams,web development,mobile development,enterprise solutions,qa & testing",http://www.linkedin.com/in/sergeikovalenko,http://www.itechart.com,https://twitter.com/itechart,New York,New York
Steven,Kamali,Chief Executive Officer,,,,http://www.linkedin.com/in/stevenkamali,,,New York,New York
Peter,Jennings,Chief Executive Officer,,,,http://www.linkedin.com/in/peter-jennings-21903368,,,Denver,Colorado
Nancy-Ann,Deparle,Partner,Consonance Capital,,,http://www.linkedin.com/in/nancy-ann-deparle-84701475,,,Washington,District of Columbia
Corey,Thomas,Chairman and CEO,,,,http://www.linkedin.com/in/coreythomas,,,Boston,Massachusetts
Andre,Lorenceau,CEO & Founder,,,,http://www.linkedin.com/in/andrelorenceau,,,New York,New York
Jason,Bates,Advisor,,,,http://www.linkedin.com/in/jason-bates-b5553722,,,Winter Park,Florida
Craig,Wahlberg,"Director, Automation & Facilities",,,,http://www.linkedin.com/in/craigwahlberg,,,,
Kevin,Moore,President,KRM Interests,education management,,http://www.linkedin.com/in/kevin-moore-a122575,http://www.appliedpractice.com,,Dallas,Texas
Wayne,Chang,Co-Founder,Digits,internet,,http://www.linkedin.com/in/waynechang,http://www.chang.com,,Boston,Massachusetts
Giordano,Contestabile,General Manager,BLOGLOVIN,,,http://www.linkedin.com/in/gcontestabile,http://www.bloglovin.com,https://twitter.com/bloglovin,New York,New York
Kimbal,Musk,Co-Founder & Executive Chairman,Big Green,restaurants,"community,ranchers,sustainable,organic,real food,farmers,american (new),american (traditional),bars,burgers,nightlife,restaurants",http://www.linkedin.com/in/kimbalmusk,http://www.thekitchen.com,,Denver,Colorado
Daymond,John,"Founder ,CEO & President",Shark Branding,construction,,http://www.linkedin.com/in/daymondjohn,http://www.daymondjohn.com,,New York,New York
Tobias,Peggs,CEO,Square Roots Urban Growers,,,http://www.linkedin.com/in/tobiaspeggs,,,New York,New York
Luis,Ahn,CEO & Co-Founder,Duolingo,internet,"mobile application,language learning,certification test,education,language education,language certification,mobile app development,language proficiency assessment,machine learning,product design,product management,software engineering,data science",http://www.linkedin.com/in/luis-von-ahn-4567065,http://www.duolingo.com,https://twitter.com/duolingo,Pittsburgh,Pennsylvania
Umang,Dua,Co-Founder & COO,Handy,internet,"education,technology,financial services,finance,online professional network,jobs,people search,company search,address book,advertising,professional identity,group collaboration",http://www.linkedin.com/in/umangdua,http://www.linkedin.com,https://twitter.com/LinkedIn,New York,New York
Julia,Cheek,CEO and Founder,EverlyWell,,,http://www.linkedin.com/in/juliataylorcheek,http://www.everlywellness.com,https://twitter.com/everly_well,Austin,Texas
Craig,Wortmann,Operating Partner,,,,http://www.linkedin.com/in/craigwortmann,,,Chicago,Illinois
David,Nelsen,CEO & Founder,Giftango,information technology & services,"mobile,information technology,gift cards,egift cards,virtual gift cards,digital gift cards,ecommerce,instant gift cards",http://www.linkedin.com/in/davidnelsen,http://www.giftango.com,https://twitter.com/Giftango,Portland,Oregon
Lawrence,Fish,Interim CFO,Evol8tion,,,http://www.linkedin.com/in/lawrence-fish-5478b82,,,New York,New York
